Info:2020-05-07 19:52:00,651 - common.log_print - INFO - =======测试类开始=======
Info:2020-05-07 19:52:05,910 - common.log_print - INFO - 打开浏览器地址http://106.53.50.202:8999/zentao3/www/my/--success
Info:2020-05-07 19:52:07,053 - common.log_print - INFO - 登录测试用例开始
Info:2020-05-07 19:52:07,058 - common.log_print - INFO - 测试用例1
Info:2020-05-07 19:52:24,929 - common.log_print - INFO - =======测试类结束=======
Info:2020-05-07 19:52:24,935 - common.log_print - INFO - =======测试类开始=======
Info:2020-05-07 19:52:35,653 - common.log_print - INFO - 打开浏览器地址http://106.53.50.202:8999/zentao3/www/my/--success
Info:2020-05-07 19:52:36,769 - common.log_print - INFO - 测试用例1
Info:2020-05-07 19:52:41,030 - common.log_print - INFO - =======测试类结束=======
Info:2020-05-07 22:29:29,529 - common.log_print - INFO - =======测试类开始=======
Info:2020-05-07 22:29:34,341 - common.log_print - INFO - 打开浏览器地址http://106.53.50.202:8999/zentao3/www/my/--success
Info:2020-05-07 22:29:35,460 - common.log_print - INFO - 登录测试用例开始
Info:2020-05-07 22:29:35,460 - common.log_print - INFO - 测试用例1
Info:2020-05-07 22:29:39,607 - common.log_print - INFO - 打开浏览器地址http://106.53.50.202:8999/zentao3/www/my/--success
Info:2020-05-07 22:29:40,730 - common.log_print - INFO - 登录测试用例开始
Info:2020-05-07 22:29:40,865 - common.log_print - INFO - 识别元素【用户名输入框】
Info:2020-05-07 22:29:41,116 - common.log_print - INFO - 对【用户名输入框】输入内容【admin】--success
Info:2020-05-07 22:29:41,134 - common.log_print - INFO - 识别元素【密码输入框】
Info:2020-05-07 22:29:41,264 - common.log_print - INFO - 对【密码输入框】输入内容【a12345678】--success
Info:2020-05-07 22:29:41,291 - common.log_print - INFO - 识别元素【登录按钮】
Info:2020-05-07 22:29:41,382 - common.log_print - INFO - 【登录按钮】进行点击--success
Info:2020-05-07 22:29:43,674 - common.log_print - INFO - 识别元素【用户菜单】
Info:2020-05-07 22:29:43,771 - common.log_print - INFO - =======测试类结束=======
Info:2020-05-07 22:39:52,475 - common.log_print - INFO - =======测试类开始=======
Info:2020-05-07 22:39:58,506 - common.log_print - INFO - 打开浏览器地址http://106.53.50.202:8999/zentao3/www/my/--success
Info:2020-05-07 22:39:59,631 - common.log_print - INFO - 登录测试用例开始
Info:2020-05-07 22:39:59,741 - common.log_print - INFO - 识别元素【用户名输入框】
Info:2020-05-07 22:39:59,943 - common.log_print - INFO - 对【用户名输入框】输入内容【admin】--success
Info:2020-05-07 22:39:59,962 - common.log_print - INFO - 识别元素【密码输入框】
Info:2020-05-07 22:40:00,190 - common.log_print - INFO - 对【密码输入框】输入内容【a12345678】--success
Info:2020-05-07 22:40:00,207 - common.log_print - INFO - 识别元素【登录按钮】
Info:2020-05-07 22:40:00,255 - common.log_print - INFO - 【登录按钮】进行点击--success
Info:2020-05-07 22:40:00,910 - common.log_print - INFO - 识别元素【用户菜单】
Info:2020-05-07 22:40:00,949 - common.log_print - INFO - =======测试类结束=======
Info:2020-05-07 22:44:32,417 - common.log_print - INFO - =======测试类开始=======
Info:2020-05-07 22:44:36,095 - common.log_print - INFO - 打开浏览器地址http://106.53.50.202:8999/zentao3/www/my/--success
Info:2020-05-07 22:44:37,222 - common.log_print - INFO - 登录测试用例开始
Info:2020-05-07 22:44:37,321 - common.log_print - INFO - 识别元素【用户名输入框】
Info:2020-05-07 22:44:37,518 - common.log_print - INFO - 对【用户名输入框】输入内容【admin】--success
Info:2020-05-07 22:44:37,535 - common.log_print - INFO - 识别元素【密码输入框】
Info:2020-05-07 22:44:37,654 - common.log_print - INFO - 对【密码输入框】输入内容【a12345678】--success
Info:2020-05-07 22:44:37,669 - common.log_print - INFO - 识别元素【登录按钮】
Info:2020-05-07 22:44:37,732 - common.log_print - INFO - 【登录按钮】进行点击--success
Info:2020-05-07 22:44:38,366 - common.log_print - INFO - 识别元素【用户菜单】
Info:2020-05-07 22:44:44,724 - common.log_print - INFO - 登录测试用例结束
Info:2020-05-07 22:44:44,725 - common.log_print - INFO - =======测试类结束=======
Info:2020-05-20 15:04:32,405 - common.log_print - INFO - 打开浏览器地址http://106.53.50.202:8999/zentao3/www/my/--success
Info:2020-05-20 15:04:32,427 - common.log_print - INFO - 识别元素【用户名输入框】
Info:2020-05-20 15:04:32,491 - common.log_print - INFO - 对【用户名输入框】输入内容【admin】--success
Info:2020-05-20 15:04:32,507 - common.log_print - INFO - 识别元素【密码输入框】
Info:2020-05-20 15:04:32,556 - common.log_print - INFO - 对【密码输入框】输入内容【a12345678】--success
Info:2020-05-20 15:04:32,570 - common.log_print - INFO - 识别元素【登录按钮】
Info:2020-05-20 15:04:32,649 - common.log_print - INFO - 【登录按钮】进行点击--success
Info:2020-05-20 15:04:36,063 - common.log_print - INFO - 识别元素【组织链接】
Info:2020-05-20 15:04:36,817 - common.log_print - INFO - 【组织链接】进行点击--success
Info:2020-05-20 15:04:36,846 - common.log_print - INFO - 识别元素【添加用户按钮】
Info:2020-05-20 15:04:37,236 - common.log_print - INFO - 【添加用户按钮】进行点击--success
Info:2020-05-20 15:04:39,416 - common.log_print - INFO - 返回上一页--success
Info:2020-05-20 15:04:39,443 - common.log_print - INFO - 识别元素【删除用户按钮】
Info:2020-05-20 15:04:39,727 - common.log_print - INFO - 【删除用户按钮】进行点击--success
Info:2020-05-20 15:04:41,753 - common.log_print - INFO - 识别元素【取消删除按钮】
Info:2020-05-20 15:04:41,813 - common.log_print - INFO - 【取消删除按钮】进行点击--success
Info:2020-05-27 15:51:59,202 - common.log_print - INFO - =======测试类开始=======
Info:2020-05-27 15:52:06,132 - common.log_print - INFO - 打开浏览器地址http://106.53.50.202:8999/zentao3/www/my/--success
Info:2020-05-27 15:52:07,255 - common.log_print - INFO - 登录测试用例开始
Info:2020-05-27 15:52:07,290 - common.log_print - INFO - 识别元素【用户名输入框】
Info:2020-05-27 15:52:07,345 - common.log_print - INFO - 对【用户名输入框】输入内容【admin】--success
Info:2020-05-27 15:52:07,353 - common.log_print - INFO - 识别元素【密码输入框】
Info:2020-05-27 15:52:07,405 - common.log_print - INFO - 对【密码输入框】输入内容【a12345678】--success
Info:2020-05-27 15:52:07,415 - common.log_print - INFO - 识别元素【登录按钮】
Info:2020-05-27 15:52:07,468 - common.log_print - INFO - 【登录按钮】进行点击--success
Info:2020-05-27 15:52:09,469 - common.log_print - INFO - 识别元素【用户菜单】
Info:2020-05-27 15:52:13,574 - common.log_print - INFO - 登录测试用例结束
Info:2020-05-27 15:52:13,574 - common.log_print - INFO - =======测试类结束=======
Info:2020-05-27 16:17:10,777 - common.log_print - INFO - =======测试类开始=======
Info:2020-05-27 16:17:16,531 - common.log_print - INFO - 打开浏览器地址http://106.53.50.202:8999/zentao3/www/my/--success
Info:2020-05-27 16:17:17,665 - common.log_print - INFO - 登录测试用例开始
Info:2020-05-27 16:17:17,685 - common.log_print - INFO - 识别元素【用户名输入框】
Info:2020-05-27 16:17:17,730 - common.log_print - INFO - 对【用户名输入框】输入内容【admin】--success
Info:2020-05-27 16:17:17,738 - common.log_print - INFO - 识别元素【密码输入框】
Info:2020-05-27 16:17:17,787 - common.log_print - INFO - 对【密码输入框】输入内容【a12345678】--success
Info:2020-05-27 16:17:17,794 - common.log_print - INFO - 识别元素【登录按钮】
Info:2020-05-27 16:17:17,838 - common.log_print - INFO - 【登录按钮】进行点击--success
Info:2020-05-27 16:17:18,435 - common.log_print - INFO - 识别元素【用户菜单】
Info:2020-05-27 16:17:22,568 - common.log_print - INFO - 登录测试用例结束
Info:2020-05-27 16:17:22,568 - common.log_print - INFO - =======测试类结束=======
Info:2020-05-27 16:21:42,224 - common.log_print - INFO - =======测试类开始=======
Info:2020-05-27 16:21:46,512 - common.log_print - INFO - 打开浏览器地址http://106.53.50.202:8999/zentao3/www/my/--success
Info:2020-05-27 16:21:47,662 - common.log_print - INFO - 登录测试用例开始
Info:2020-05-27 16:21:47,681 - common.log_print - INFO - 识别元素【用户名输入框】
Info:2020-05-27 16:21:47,740 - common.log_print - INFO - 对【用户名输入框】输入内容【admin】--success
Info:2020-05-27 16:21:47,755 - common.log_print - INFO - 识别元素【密码输入框】
Info:2020-05-27 16:21:47,819 - common.log_print - INFO - 对【密码输入框】输入内容【a12345678】--success
Info:2020-05-27 16:21:47,828 - common.log_print - INFO - 识别元素【登录按钮】
Info:2020-05-27 16:21:47,874 - common.log_print - INFO - 【登录按钮】进行点击--success
Info:2020-05-27 16:21:48,437 - common.log_print - INFO - 识别元素【用户菜单】
Info:2020-05-27 16:21:52,532 - common.log_print - INFO - 登录测试用例结束
Info:2020-05-27 16:21:52,532 - common.log_print - INFO - =======测试类结束=======
Info:2020-05-27 16:22:02,937 - common.log_print - INFO - =======测试类开始=======
Info:2020-05-27 16:22:07,351 - common.log_print - INFO - 打开浏览器地址http://106.53.50.202:8999/zentao3/www/my/--success
Info:2020-05-27 16:22:08,499 - common.log_print - INFO - 登录测试用例开始
Info:2020-05-27 16:22:08,513 - common.log_print - INFO - 识别元素【用户名输入框】
Info:2020-05-27 16:22:08,550 - common.log_print - INFO - 对【用户名输入框】输入内容【admin】--success
Info:2020-05-27 16:22:08,561 - common.log_print - INFO - 识别元素【密码输入框】
Info:2020-05-27 16:22:08,613 - common.log_print - INFO - 对【密码输入框】输入内容【a12345678】--success
Info:2020-05-27 16:22:08,624 - common.log_print - INFO - 识别元素【登录按钮】
Info:2020-05-27 16:22:08,664 - common.log_print - INFO - 【登录按钮】进行点击--success
Info:2020-05-27 16:22:09,269 - common.log_print - INFO - 识别元素【用户菜单】
Info:2020-05-27 16:22:13,378 - common.log_print - INFO - 登录测试用例结束
Info:2020-05-27 16:22:13,378 - common.log_print - INFO - =======测试类结束=======
